pe_id,rank,instance_id,iteration_index,iteration_secs,instance_p50_secs,instance_p95_secs,instance_max_secs
RandomWordProducer0,0,RandomWordProducer0@0,1,0.007269859313964844,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
RandomWordProducer0,0,RandomWordProducer0@0,2,5.316734313964844e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
RandomWordProducer0,0,RandomWordProducer0@0,3,2.09808349609375e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
RandomWordProducer0,0,RandomWordProducer0@0,4,2.8848648071289062e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
RandomWordProducer0,0,RandomWordProducer0@0,5,2.09808349609375e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
RandomWordProducer0,0,RandomWordProducer0@0,6,2.09808349609375e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
RandomWordProducer0,0,RandomWordProducer0@0,7,1.5735626220703125e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
RandomWordProducer0,0,RandomWordProducer0@0,8,2.1696090698242188e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
RandomWordProducer0,0,RandomWordProducer0@0,9,1.8835067749023438e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
RandomWordProducer0,0,RandomWordProducer0@0,10,2.9802322387695312e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
WordCounter1,1,WordCounter1@1,1,9.775161743164062e-06,5.0067901611328125e-06,8.82148742675781e-06,9.775161743164062e-06
WordCounter1,1,WordCounter1@1,2,3.0994415283203125e-06,5.0067901611328125e-06,8.82148742675781e-06,9.775161743164062e-06
WordCounter1,1,WordCounter1@1,3,2.86102294921875e-06,5.0067901611328125e-06,8.82148742675781e-06,9.775161743164062e-06
WordCounter1,1,WordCounter1@1,4,5.0067901611328125e-06,5.0067901611328125e-06,8.82148742675781e-06,9.775161743164062e-06
WordCounter1,1,WordCounter1@1,5,5.0067901611328125e-06,5.0067901611328125e-06,8.82148742675781e-06,9.775161743164062e-06
WordCounter1,2,WordCounter1@2,1,4.0531158447265625e-06,3.0994415283203125e-06,3.957748413085937e-06,4.0531158447265625e-06
WordCounter1,2,WordCounter1@2,2,2.1457672119140625e-06,3.0994415283203125e-06,3.957748413085937e-06,4.0531158447265625e-06
WordCounter1,3,WordCounter1@3,1,1.0967254638671875e-05,5.0067901611328125e-06,1.0371208190917969e-05,1.0967254638671875e-05
WordCounter1,3,WordCounter1@3,2,5.0067901611328125e-06,5.0067901611328125e-06,1.0371208190917969e-05,1.0967254638671875e-05
WordCounter1,3,WordCounter1@3,3,2.1457672119140625e-06,5.0067901611328125e-06,1.0371208190917969e-05,1.0967254638671875e-05
