pe_id,rank,instance_id,iteration_count,total_secs,avg_secs,min_secs,p50_secs,p95_secs,max_secs
RandomWordProducer0,0,RandomWordProducer0@0,10,0.007500886917114258,0.0007500886917114258,1.5735626220703125e-05,2.1338462829589844e-05,0.004022347927093497,0.007269859313964844
WordCounter1,1,WordCounter1@1,5,2.574920654296875e-05,5.14984130859375e-06,2.86102294921875e-06,5.0067901611328125e-06,8.82148742675781e-06,9.775161743164062e-06
WordCounter1,2,WordCounter1@2,2,6.198883056640625e-06,3.0994415283203125e-06,2.1457672119140625e-06,3.0994415283203125e-06,3.957748413085937e-06,4.0531158447265625e-06
WordCounter1,3,WordCounter1@3,3,1.811981201171875e-05,6.039937337239583e-06,2.1457672119140625e-06,5.0067901611328125e-06,1.0371208190917969e-05,1.0967254638671875e-05
